document_id,filename,predicted_doc_type,baseline_score,overall_score,reviewer_notes,source_path
419522ad274b45489b49f9272de4a8aa,report6.pdf,Report,79,,,data\training\classification_samples\Report\report6.pdf
8f0808a1b2a548749ad2c48af48ea1e1,report7.pdf,Report,71,,,data\training\classification_samples\Report\report7.pdf
d83d49f80deb43d1afe4d6e9f87b0440,report8.pdf,Report,70,,,data\training\classification_samples\Report\report8.pdf
8c66b4b7c49b436d8fbae2260dcaa10f,resume1.pdf,Resume,79,,,data\training\classification_samples\Resume\resume1.pdf
9ac511c95a52458a80a24de2fd215ccd,resume10.pdf,Resume,66,,,data\training\classification_samples\Resume\resume10.pdf
414b3c0ce5a44db19c23c92afa962237,resume11.pdf,Resume,82,,,data\training\classification_samples\Resume\resume11.pdf
df092d01afd64e76b22f596893be5981,resume12.pdf,Resume,73,,,data\training\classification_samples\Resume\resume12.pdf
94aa749611e24c5391317e600e997965,resume2.pdf,Resume,62,,,data\training\classification_samples\Resume\resume2.pdf
4f0ba811ecac472c8041b43116f15f47,resume3.pdf,Resume,47,,,data\training\classification_samples\Resume\resume3.pdf
49a8377ab47c49c4b7b743776580deb8,resume4.pdf,Resume,66,,,data\training\classification_samples\Resume\resume4.pdf
d4717c56b8244789a8d41e923e3079b8,resume5.pdf,Resume,85,,,data\training\classification_samples\Resume\resume5.pdf
febd0fddcf374ae185eecf8cf9967ec2,resume6.pdf,Resume,76,,,data\training\classification_samples\Resume\resume6.pdf
f3e1414f77e74351999a2a268ddae68f,resume7.pdf,Resume,70,,,data\training\classification_samples\Resume\resume7.pdf
9847ca828da64bbebb72ff0d96d926e6,resume8.pdf,Resume,76,,,data\training\classification_samples\Resume\resume8.pdf
ced76697917b46578d13d70c2f0bbcb7,resume9.pdf,Resume,23,,,data\training\classification_samples\Resume\resume9.pdf
ae49e982a7a54ca7938eda6705d4cff0,thesis1.pdf,Thesis,47,,,data\training\classification_samples\Thesis\thesis1.pdf
53a8ee74ea964ac4ac3acb2fa5b78c39,thesis2.pdf,Thesis,44,,,data\training\classification_samples\Thesis\thesis2.pdf
6886cd4b3f874b578d4361a40cea612b,thesis3.pdf,Report,69,,,data\training\classification_samples\Thesis\thesis3.pdf
7d283ae9a0014cf59f5615818ad7b63b,thesis4.pdf,Thesis,63,,,data\training\classification_samples\Thesis\thesis4.pdf
5040211cf9ab4dcb834aea670df210a9,thesis5.pdf,Thesis,57,,,data\training\classification_samples\Thesis\thesis5.pdf
